first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age
Brigitte,Whellams,F,67,Payment Adjustment Coordinator,Financial Services,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625,48
Kinna,Kollasch,F,7,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625,35
Maurizio,Comi,M,74,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875,25
Elbertina,Fendley,F,32,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15,29
Franklin,Wohler,M,55,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15,83
Allyson,Petchell,F,16,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15,51
Ermentrude,Heindle,F,47,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15,52
Alanna,Lerway,F,26,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475,77
Vincent,Jopke,M,6,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475,49
Mandie,Jeffryes,F,60,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475,40
Collete,Dory,F,66,Information Systems Manager,Financial Services,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475,31
Leonid,Dorricott,M,44,Environmental Tech,Financial Services,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475,28
Charlena,Berney,F,55,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475,55
Alfonso,Massel,M,70,Associate Professor,Financial Services,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875,81
Engracia,Dobbs,F,84,Associate Professor,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625,62
Glyn,,M,47,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625,76
Rosemonde,Cartwight,F,44,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625,69
Alano,Satchel,M,2,Recruiting Manager,Financial Services,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625,23
Corrine,Baribal,F,19,Senior Sales Associate,Financial Services,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375,73
Benoit,Harniman,M,31,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375,45
Jeanne,Darte,F,70,Associate Professor,Financial Services,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375,66
Jenelle,Fearnill,F,12,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375,63
Tannie,Gambrell,M,92,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375,54
Mick,Macewan,M,32,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375,54
Abbie,Oldman,M,82,Associate Professor,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.136875,38
Tabbie,Curner,M,12,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875,24
Shane,Killen,M,28,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875,65
Roberta,Goodale,F,9,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625,74
Kippy,Barabisch,M,11,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625,21
Rosalinde,Cubuzzi,F,50,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625,24
Cami,Barnbrook,F,8,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625,59
Dorian,Stollen,M,78,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125,41
Hunfredo,Hayball,M,7,Associate Professor,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125,27
Giorgi,O'Shirine,M,68,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125,40
Kort,Disley,M,66,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125,42
Gretna,Thredder,F,62,Associate Professor,Financial Services,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625,55
Tobiah,Heinsius,M,66,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625,21
Wallace,Newart,M,91,Associate Professor,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625,44
Hersh,Stubbert,M,0,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125,21
Hatti,Carletti,U,35,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,226,1.1125,50
Wyn,Saynor,M,54,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125,57
Maribeth,Stivani,F,46,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125,67
Abigale,Sives,F,48,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375,58
Gothart,Artus,M,52,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105,43
Danny,Bodle,M,50,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105,78
Vittorio,Boxen,M,94,Mechanical Systems Engineer,Financial Services,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1,56
Deborah,Petrovsky,F,53,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1,78
Agace,Hedge,F,25,Media Manager II,Financial Services,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1,24
Rolland,Esmead,M,41,Associate Professor,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1,81
Latrena,Walklate,F,97,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375,78
Mariquilla,Springthorpe,F,30,Director of Sales,Financial Services,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375,82
Leticia,Danovich,F,84,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375,80
Harman,Lynds,M,4,Professor,Financial Services,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09,60
Farra,Matyushkin,F,18,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875,47
Robenia,Monks,F,94,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875,62
Roman,Eastwood,M,57,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875,52
Solomon,Bruck,M,29,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375,64
Krystyna,Airey,F,2,Safety Technician II,Financial Services,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375,71
Katharine,Redbourn,F,8,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375,54
Cammy,Stoneham,F,74,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375,58
Ellsworth,Andrieux,M,49,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125,50
Federico,Leuty,M,59,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125,43
Ferdy,Hornung,M,57,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075,47
Sunny,Christescu,F,90,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075,46
Shadow,Yakutin,M,85,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125,54
Sharai,Priddie,F,13,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125,60
Celeste,Fretson,F,91,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125,41
Lea,Ilyinski,F,75,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125,24
Dyann,Olechnowicz,F,17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125,82
Delly,Sunman,F,49,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125,62
Malvin,Ryhorovich,M,37,Quality Control Specialist,Financial Services,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125,59
Tanya,Hamberston,F,45,Product Engineer,Financial Services,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625,21
Kaela,Romaines,F,41,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625,50
Evonne,Bembridge,F,9,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625,52
Shannen,Lewin,F,21,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625,30
Bogey,Attew,M,88,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625,29
Zondra,Ringham,F,36,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625,73
Barnebas,Apfel,M,57,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625,25
Alleen,Eaken,F,56,Associate Professor,Financial Services,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625,83
Gerri,Schimann,F,81,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625,52
Antonietta,Egle,F,82,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625,48
Raff,Waycott,M,70,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625,70
Lark,Gonet,F,89,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625,49
Cletis,Longley,M,84,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06,25
Bartram,Di Lucia,M,70,Associate Professor,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06,60
Theresa,Cowper,F,99,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06,45
Philbert,Raraty,M,48,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875,65
Egon,Ortells,M,35,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875,45
Dahlia,Shovlar,F,90,Environmental Specialist,Financial Services,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875,55
Timi,Duny,F,70,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875,68
Dominick,Asher,M,50,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05,59
Raye,Roo,F,64,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05,45
Becka,Hacon,F,81,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05,56
Cirillo,Frossell,M,7,Graphic Designer,Financial Services,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05,53
Verla,Dumingos,F,26,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875,50
Sherrie,Godleman,F,37,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875,43
Dexter,Shutle,M,81,Quality Control Specialist,Financial Services,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875,62
Konstanze,Hovie,F,88,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125,54
Bink,Bentje,M,3,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125,64
Taber,Szymon,M,70,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04,74
Debbi,Dannatt,F,2,Technical Writer,Financial Services,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04,63
Giana,Staresmeare,F,96,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375,45
Morton,Petkens,M,50,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375,31
Vittoria,Whitney,F,95,Research Assistant I,Financial Services,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375,40
Paquito,Atwood,M,15,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375,49
Dimitri,Tribbeck,M,89,Chief Design Engineer,Financial Services,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375,63
Shelli,Bartholomaus,F,88,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375,58
Kermit,Lebond,M,36,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125,41
Biddie,Gorce,F,68,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125,33
Rupert,Marrow,M,73,Associate Professor,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625,51
Geoff,Sitford,M,97,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625,56
Ange,Chitham,F,91,Associate Professor,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625,30
Tiphanie,Blackader,F,59,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625,74
Zollie,Crinidge,M,39,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625,33
Daisy,Pollen,F,97,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03,28
Emelen,Bidnall,M,79,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03,40
Linette,Boman,F,56,Account Executive,Financial Services,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025,72
Manya,Abramovici,F,42,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025,66
Brynna,Tivers,F,81,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025,47
Art,Carolan,M,1,Marketing Manager,Financial Services,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025,67
Alfi,Sabbins,F,63,Associate Professor,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025,62
Loleta,Aberdalgy,F,45,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025,40
Aldric,Birney,M,21,Associate Professor,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625,50
Natividad,Balducci,F,39,Associate Professor,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625,30
Claudine,Dymick,F,28,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02,56
Seamus,Cains,M,61,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02,32
Guss,Karim,M,95,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02,53
Julietta,Setchfield,F,73,Operator,Financial Services,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02,29
Roch,Symson,F,96,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02,43
Audry,Fann,F,3,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02,64
Cecelia,Cisar,F,20,Associate Professor,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02,36
Clari,Voas,F,74,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02,66
Zach,Hedman,M,87,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625,40
Paxon,Roomes,M,78,Information Systems Manager,Financial Services,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625,45
Parnell,Lamprey,M,23,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125,44
Honey,Gosdin,F,0,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125,40
Sonny,McCart,M,35,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01,29
Rozamond,Turtle,U,69,Legal Assistant,IT,Mass Customer,N,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,324,1.01,50
Deirdre,Burgoine,F,14,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,326,1.009375,66
Haleigh,,F,17,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375,69
Aldridge,Poskitt,M,84,VP Sales,Financial Services,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,326,1.009375,39
Zechariah,McReidy,M,32,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,329,1,43
Carry,Costi,F,32,Senior Developer,Property,Mass Customer,N,No,11,5316 Farwell Hill,2800,NSW,Australia,4,329,1,49
Alon,,M,17,Accountant IV,Financial Services,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,329,1,22
Ahmed,Pickthorne,M,46,Marketing Manager,Financial Services,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,329,1,62
Nil,Shirer,M,64,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,329,1,24
Erhard,O'Moylane,M,33,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,334,0.99875,43
Vitia,Axtens,F,62,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,334,0.99875,76
Haskell,Moxted,M,81,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,334,0.99875,78
Ebony,Conrad,F,8,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,334,0.99875,22
Lincoln,Boler,M,53,Chief Design Engineer,Financial Services,Affluent Customer,N,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,338,0.99609375,45
Vladimir,Westmerland,M,18,Associate Professor,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,338,0.99609375,65
Kylynn,Drowsfield,F,80,Editor,Financial Services,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,338,0.99609375,46
Nicole,Ruckhard,F,93,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,341,0.99,52
Celestina,Lethardy,F,38,Software Consultant,IT,Mass Customer,N,Yes,11,53 Memorial Street,3163,VIC,Australia,10,341,0.99,53
Tannie,Petrakov,M,84,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,341,0.99,70
Bessy,Saladin,F,22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,341,0.99,82
Diego,Van den Broek,M,17,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,345,0.988125,57
Lucilia,Minshall,F,71,Associate Professor,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,345,0.988125,69
Cissiee,Pollington,F,43,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,345,0.988125,80
Eddy,Sturch,M,22,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,345,0.988125,60
Caron,Kezar,F,11,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,349,0.9875,68
Sandor,Stirland,M,67,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10,349,0.9875,40
Gallagher,Bromell,M,18,Assistant Manager,Financial Services,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,349,0.9875,65
Murial,Bulloch,F,59,Associate Professor,Financial Services,Mass Customer,N,No,13,391 Old Shore Lane,2011,NSW,Australia,6,349,0.9875,57
Delinda,Ech,F,74,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,349,0.9875,77
Hussein,Tapenden,M,19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,349,0.9875,68
Giulietta,Garbott,F,59,Technical Writer,Financial Services,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,355,0.984375,19
Kaylyn,Jakaway,F,45,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8,356,0.9828125,41
Brynn,Goodyear,F,30,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,356,0.9828125,77
Otis,,M,59,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,358,0.98,50
Tamas,Swatman,U,65,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,78 Clarendon Drive,4551,QLD,Australia,8,358,0.98,50
Pace,Clemonts,M,99,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,358,0.98,31
Tracy,Andrejevic,U,71,Programmer II,IT,Mass Customer,N,Yes,11,5675 Burning Wood Trail,3030,VIC,Australia,7,361,0.9775,50
Muffin,Grigolon,M,7,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10,361,0.9775,42
Allsun,Biner,F,67,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,361,0.9775,24
Kenneth,Elleyne,M,13,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,361,0.9775,64
Clotilda,Southers,F,62,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,361,0.9775,22
Augustus,Bourley,M,60,Associate Professor,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,366,0.975,40
Daisi,Tinwell,F,84,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,366,0.975,50
Gerik,Woodroof,M,18,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,Australia,7,366,0.975,62
Claresta,MacConnulty,F,6,Recruiting Manager,Financial Services,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,366,0.975,64
Arty,Fontelles,M,50,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4,370,0.97,27
Giulia,Hazart,F,57,Help Desk Technician,Financial Services,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,371,0.96875,43
Whit,Emloch,M,30,Food Chemist,Health,Mass Customer,N,Yes,6,105 Carpenter Court,2220,NSW,Australia,9,372,0.966875,58
Rowan,Summerly,M,4,Librarian,Entertainment,Mass Customer,N,No,9,58231 Tomscot Plaza,2209,NSW,Australia,10,372,0.966875,47
Ian,Rabat,M,54,Web Designer I,Financial Services,Affluent Customer,N,No,11,3 Loeprich Point,3204,VIC,Australia,11,372,0.966875,46
Agneta,McAmish,U,66,Structural Analysis Engineer,IT,Mass Customer,N,No,15,5773 Acker Way,4207,QLD,Australia,6,375,0.96,50
